City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,bardsir,29.9227,56.5743,12.48,45,1,0.98,IR,1730336056
234,tingo maria,-9.2895,-76.0088,23.03,90,92,1.04,PE,1730336057
235,libenge,3.65,18.6333,21.66,96,100,0.96,CD,1730336058
236,cidreira,-30.1811,-50.2056,20.3,88,35,9.53,BR,1730336059
237,alice springs,-23.7,133.8833,31.75,9,11,4.12,AU,1730336060
238,barra de santo antonio,-9.4047,-35.5072,24.3,76,4,4.29,BR,1730336061
239,vila franca do campo,37.7167,-25.4333,18.27,99,3,2.96,PT,1730336062
240,baise city,23.8997,106.6133,24.08,99,0,0.69,CN,1730336064
241,ruiz,21.95,-105.15,23.84,86,0,0.91,MX,1730336065
242,tazacorte,28.629,-17.9293,18.54,81,0,3.6,ES,1730336066
243,buala,-8.145,159.5921,27.9,78,100,1.4,SB,1730336067
244,port saint john's,-31.6229,29.5448,15.97,80,8,4.35,ZA,1730336068
245,sorong,-0.8833,131.25,29.61,71,83,0.49,ID,1730336069
246,mandla,22.6,80.3833,20.08,75,3,1.18,IN,1730336072
247,valparaiso,-33.0393,-71.6273,13.8,94,100,3.6,CL,1730336073
248,waddan,29.1614,16.139,17.47,74,0,1.42,LY,1730336074
249,dabakala,8.3667,-4.4333,23.23,94,100,1.24,CI,1730336075
250,shache,38.4167,77.2406,8.69,39,0,1.76,CN,1730336076
251,guilin,25.2819,110.2864,16.06,54,0,3.17,CN,1730336077
252,galveston,29.3669,-94.9669,27.24,87,0,6.17,US,1730335785
253,garoowe,8.4054,48.4845,23.4,59,3,4.85,SO,1730336080
254,vorkuta,67.5,64.0,-5.15,93,100,3.38,RU,1730336081
255,mundargi,15.2167,75.9,23.59,77,22,1.39,IN,1730336082
256,tubarjal,30.4999,38.216,18.18,41,0,3.48,SA,1730336083
257,simojovel de allende,17.2,-92.6333,23.71,100,100,0.04,MX,1730336084
258,hithadhoo,-0.6,73.0833,27.34,65,100,1.95,MV,1730336085
259,izki,22.9333,57.7667,23.31,66,0,0.37,OM,1730336086
260,midvagur,62.0511,-7.1939,6.46,93,100,4.63,FO,1730336087
261,gaigeturi,33.4644,126.3183,21.03,64,75,6.17,KR,1730336090
262,catalao,-18.1658,-47.9464,18.28,93,2,2.75,BR,1730336091
263,mata-utu,-13.2816,-176.1745,25.48,83,49,3.26,WF,1730336092
264,locust grove,33.346,-84.1091,19.43,86,0,1.16,US,1730336093
265,praia da vitoria,38.7333,-27.0667,19.14,88,40,5.04,PT,1730336094
266,kotlas,61.2611,46.6556,0.89,96,100,5.43,RU,1730336096
267,wenchang,30.904,118.4887,17.95,78,26,5.78,CN,1730336097
268,quellon,-43.1167,-73.6167,9.35,91,8,2.14,CL,1730336098
269,janauba,-15.8025,-43.3089,20.72,92,100,3.0,BR,1730336099
270,butembo,0.15,29.2833,14.3,97,100,0.92,CD,1730336100
271,hotan,37.0997,79.9269,9.71,42,54,2.18,CN,1730336101
272,berezovo,63.9381,65.0419,-3.84,93,34,3.42,RU,1730336102
273,kolokani,13.5728,-8.0339,25.78,37,96,2.38,ML,1730336103
274,thief river falls,48.1191,-96.1812,1.96,69,0,3.09,US,1730336105
275,gaziantep,37.0594,37.3825,4.96,49,0,2.57,TR,1730336106
276,bartlesville,36.7473,-95.9808,23.95,83,7,2.68,US,1730336107
277,pacific grove,36.6177,-121.9166,14.81,89,15,1.34,US,1730336108
278,priargunsk,50.3691,119.1012,3.15,74,100,0.62,RU,1730336109
279,morehead city,34.7229,-76.726,20.55,88,0,0.45,US,1730336110
280,onega,63.9061,38.1404,1.71,97,100,4.16,RU,1730336111
281,daru,-9.0763,143.2092,27.28,83,97,5.61,PG,1730336112
282,sao gabriel da cachoeira,-0.1303,-67.0892,26.21,66,53,0.86,BR,1730336114
283,gamba,-2.65,10.0,25.0,86,100,3.25,GA,1730336115
284,howrah,22.5892,88.3103,27.0,94,20,1.54,IN,1730336116
285,devonport,-41.1667,146.35,19.18,51,26,1.79,AU,1730336117
286,kruisfontein,-34.0033,24.7314,11.78,89,0,1.74,ZA,1730336118
287,acajutla,13.5928,-89.8275,26.65,80,99,2.09,SV,1730336119
288,moose jaw,50.4001,-105.5344,3.14,56,20,2.06,CA,1730336120
289,newman,37.3138,-121.0208,19.46,40,4,0.89,US,1730336122
290,udachny,66.4167,112.4,-21.97,100,93,1.66,RU,1730336123
291,masterton,-40.9597,175.6575,16.2,65,77,4.51,NZ,1730336021
292,tazovsky,67.4667,78.7,-5.48,94,100,5.18,RU,1730336125
293,alesund,62.4723,6.1549,7.64,87,100,5.66,NO,1730336126
294,xilin hot,43.9667,116.0333,8.4,75,5,5.69,CN,1730336127
295,sabang,5.8933,95.3214,27.84,70,49,3.87,ID,1730336128
296,durango,24.8333,-104.8333,17.09,39,5,0.4,MX,1730335737
297,ayr,55.4627,-4.6339,12.5,94,100,5.14,GB,1730336131
298,pangody,65.85,74.4859,-6.3,93,97,4.24,RU,1730336132
299,la puebla de montalban,39.863,-4.3592,13.98,75,100,2.4,ES,1730336133
300,vilyuchinsk,52.9306,158.4028,3.15,60,12,11.83,RU,1730336134
301,oranjemund,-28.55,16.4333,15.12,84,0,2.13,NA,1730336135
302,sola,-13.8833,167.55,25.96,82,95,3.92,VU,1730336138
303,rio claro,-22.4114,-47.5614,20.62,72,0,4.32,BR,1730336139
304,santa ana de yacuma,-13.75,-65.4333,30.43,53,99,1.85,BO,1730336140
305,kulhudhuffushi,6.6221,73.07,27.69,74,98,2.08,MV,1730336141
306,mariehamn,60.0973,19.9348,4.92,75,0,2.57,AX,1730336142
307,ternate,0.8,127.4,29.73,65,100,1.01,ID,1730336143
308,ocher,57.8904,54.7202,0.78,84,100,6.13,RU,1730336144
309,punta arenas,-53.15,-70.9167,11.06,58,0,4.12,CL,1730336145
310,luganville,-15.5333,167.1667,26.2,82,100,3.49,VU,1730336148
311,soio,-6.1349,12.3689,24.28,83,100,2.48,AO,1730336149
312,puerto baquerizo moreno,-0.9,-89.6,20.84,82,100,3.39,EC,1730336150
313,bileca,42.8719,18.4297,9.62,73,0,3.02,BA,1730336151
314,swan hill,-35.3378,143.5544,22.47,29,15,5.96,AU,1730336152
315,yuzawa,39.1667,140.5,16.31,63,21,4.15,JP,1730336155
316,enewetak,11.3474,162.3373,28.58,77,19,6.28,MH,1730336156
317,faya-largeau,17.9257,19.1043,21.68,27,4,7.56,TD,1730336157
318,persembe,41.0656,37.7714,10.68,82,17,2.4,TR,1730336158
319,kumagunnam,13.1551,10.6342,23.49,17,100,3.73,NG,1730336159
320,anzio,41.4853,12.6179,17.47,73,0,2.39,IT,1730336160
321,mont-dore,-22.2833,166.5833,27.78,98,0,6.51,NC,1730336163
322,mukharram al fawqani,34.8151,37.0861,15.57,35,48,3.85,SY,1730336164
323,haimen,23.1935,116.6142,22.83,61,100,7.46,CN,1730336165
324,taroudant,30.4703,-8.877,15.54,80,0,0.96,MA,1730336166
325,celestun,20.8667,-90.4,26.35,85,81,4.57,MX,1730336167
326,kalemie,-5.9475,29.1947,20.72,92,100,2.53,CD,1730336168
327,sake,-1.5736,29.045,17.18,92,100,0.81,CD,1730336169
328,wewak,-3.5534,143.6268,30.37,68,23,2.35,PG,1730336170
329,severo-yeniseyskiy,60.3725,93.0408,-16.24,100,100,0.5,RU,1730336172
330,veraval,20.9,70.3667,26.9,55,4,3.21,IN,1730336173
331,mili,6.0815,171.735,28.08,72,100,0.41,MH,1730336174
332,coweta,33.3835,-84.7666,18.92,90,0,0.0,US,1730336175
333,kapoeta,4.7717,33.5903,24.64,63,38,2.84,SS,1730336176
334,ellettsville,39.2339,-86.625,22.33,66,0,3.6,US,1730336177
335,puerto palomas,31.7667,-107.6167,14.78,19,3,5.53,MX,1730336178
336,lanxi,29.2195,119.477,17.83,86,100,1.37,CN,1730336180
337,lerwick,60.1545,-1.1494,11.51,94,100,14.51,GB,1730336181
338,pahrump,36.2083,-115.9839,10.3,22,0,2.13,US,1730336020
339,kadugli,11.0167,29.7167,23.8,27,51,3.06,SD,1730336183
340,atherton,53.5237,-2.4935,10.81,96,100,0.45,GB,1730336184
341,crane,31.3974,-102.3501,23.81,23,16,7.71,US,1730336185
342,ribas do rio pardo,-20.4431,-53.7592,26.06,48,0,2.32,BR,1730336186
343,mount pearl,47.5166,-52.7813,0.74,86,40,1.03,CA,1730336187
344,codrington,-38.2667,141.9667,14.54,65,93,7.73,AU,1730336189
345,basoko,1.2391,23.616,21.89,98,100,1.15,CD,1730336190
346,tatarsk,55.219,75.9828,-1.04,76,12,1.92,RU,1730336192
347,berezovyy,51.6667,135.7,1.95,62,34,0.97,RU,1730336193
348,zhanaozen,43.3,52.8,7.93,92,0,1.23,KZ,1730336194
349,mutuali,-14.8706,37.0044,23.36,54,59,1.44,MZ,1730336196
350,miramichi,47.0043,-65.4654,8.18,92,100,7.07,CA,1730336197
351,pisco,-13.7,-76.2167,18.03,82,0,6.69,PE,1730336198
352,awjilah,29.1081,21.2869,17.57,63,0,4.49,LY,1730336199
353,broken hill,-31.95,141.4333,21.39,38,97,5.32,AU,1730336200
354,hobyo,5.3505,48.5268,26.36,82,25,2.89,SO,1730336201
355,dongola,19.1667,30.4833,19.14,36,0,4.04,SD,1730336202
356,waingapu,-9.6567,120.2641,30.84,66,21,4.7,ID,1730336205
357,selma,36.5708,-119.6121,21.03,39,75,0.0,US,1730336206
358,opuwo,-18.0607,13.84,18.37,27,1,1.32,NA,1730336207
359,tucurui,-3.7661,-49.6725,24.22,85,95,1.15,BR,1730336208
360,nizhnesortymskiy,62.4397,71.7603,-1.88,91,95,3.85,RU,1730336209
361,kirakira,-10.4544,161.9205,27.95,82,58,2.56,SB,1730336210
362,la'ie,21.6477,-157.9253,27.81,79,1,4.02,US,1730336212
363,francistown,-21.17,27.5079,20.79,70,0,8.64,BW,1730336213
364,dobroye,52.8678,39.8109,8.14,78,100,9.0,RU,1730336214
365,chul'man,56.8479,124.9104,-11.97,90,100,0.52,RU,1730336215
